exp,peers,nlr,failures,StrgglerCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0011,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192,1852,1862,1856.7916666666667,0,16121,16568.13214666193,16764.685928013878,1810.7183018269354,359.136235730018,140.15743841257688,138.68268486175,3.2175,10.235,18.211629,12.61672,0.0,0,0,3586.795,3586.759,3586.795,3621.993,3621.965,2554.683354669744,2554.6470192649144,2554.683354669744,2571.300989814815,2571.265508127572,639.3428851087267,639.3423101592033,646.6674068878244,646.6653709273347,1.4,22528,19440,8.840481848253019,9.50766912360683,12370.118016350982,15408.125091148888,0.0,0
0012,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192,1852,1861,1856.6770833333333,0,16121,16570.92072088068,16768.004004112332,1806.5346441559605,330.70282821594884,139.62802657383148,138.15366539341406,3.15,10.1475,18.313029,12.62343,0.0,0,0,3591.981,3591.957,3591.981,3621.884,3621.846,2559.2099338600856,2559.1736540305396,2559.2099338600856,2571.1962495622615,2571.1597935420746,638.8800553901226,638.8779437055917,648.1412317987771,648.1383248698713,1.5675675675675675,22528,19418,8.839473775076828,9.505143421227856,12301.624160590802,15382.506973144384,0.0,0
0013,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192,1852,1862,1857.1354166666667,0,16116,16568.173783735794,16765.999512142236,1806.2640033209766,329.6366581469642,140.17541968164738,136.89237583527046,3.13,10.0375,18.171924,12.579425,0.0,0,0,3573.295,3573.27,3573.295,3611.252,3611.218,2541.0986501686793,2541.0631398259943,2541.0986501686793,2553.816933615819,2553.7812741121875,639.4839898307953,639.4815346340304,647.428280991503,647.4251304402189,1.2105263157894737,22528,19824,8.839446427457618,9.504931673402627,12397.14627906214,15759.066888987374,0.0,0
0014,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192,1853,1860,1856.6041666666667,0,16123,16572.820401278408,16770.531891833307,1805.9736677218264,325.30077266890265,140.4181917033034,137.10611352338427,3.185,10.0425,18.160708,12.616963,0.0,0,0,3549.459,3549.433,3549.459,3576.102,3576.084,2532.6354273792613,2532.599986772017,2532.6354273792613,2544.565735349813,2544.567543249053,626.9840832564879,626.9822678459815,633.9246369017147,633.9165756356264,1.6818181818181819,22528,19539,8.839758004994795,9.505383413502003,12404.802720246369,15486.29412640744,0.0,0
0015,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192,2492,2502,2497.1666666666665,11607,11694,12257.433990995763,12370.58253968254,1195.1287525367861,392.25513017268753,140.4562887136075,139.11360002086704,3.985,12.9525,18.171247,12.47192,0.0,0,0,3580.335,3580.305,3580.335,3616.754,3616.734,2567.0508529197564,2567.0166096067264,2567.0508529197564,2575.282766175143,2575.248643883539,640.6155915980313,640.61441231626,648.1741069478427,648.1714036950651,1.8852459016393444,30208,26584,8.839934803270841,9.507306612717983,16624.065481031656,21315.082200655554,0.0,0
0016,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192,2491,2504,2497.4791666666665,11606,11697,12268.15959348517,12382.615531767675,1182.1807617763418,337.87949648980475,140.17911934549053,138.6238903752942,3.9275,12.7725,18.212971,12.480011,0.0,0,0,3600.475,3600.446,3600.475,3633.111,3633.086,2573.7390118511653,2573.7042204713985,2573.7390118511653,2580.3745921588397,2580.3295811230028,640.1067576742288,640.1043195666499,650.2630044139761,650.2492104962377,1.7826086956521738,30208,25787,8.839908917998462,9.507323560663012,16585.981496374206,20662.642044145636,0.0,0
0017,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192,2491,2504,2497.0833333333335,11615,11701,12261.548563294491,12375.68108394027,1188.2255553400082,365.33554004100665,139.6132233791941,139.14861192612378,3.975,12.8675,18.316369,12.457023,0.0,0,0,3576.126,3576.076,3576.126,3613.34,3613.319,2558.3879822232525,2558.352627846928,2558.3879822232525,2570.977207122175,2570.9424509081337,638.1808825140416,638.1787690802032,647.1608115764186,647.1567634284798,1.7285714285714286,30208,26593,8.83886435398149,9.505217770479883,16492.351731939885,21347.797142222505,0.0,0
0018,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192,2490,2503,2496.5729166666665,11584,11703,12260.787043167373,12376.45806871845,1180.058058902411,330.02740691286994,140.1154233639513,138.83811572289747,4.08,13.68,18.208319,12.481787,0.0,0,0,3588.003,3587.965,3588.003,3620.283,3620.25,2569.855609441208,2569.821094941737,2569.855609441208,2579.8127799278577,2579.778059479973,639.7252070952873,639.7226072596318,648.4884204936418,648.4852818758312,1.9318181818181819,30208,26614,8.839109479607925,9.505273297895165,16590.219009234184,21322.26739648738,0.0,0
0019,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192,2491,2504,2497.375,11610,11703,12252.762910487289,12367.641095555917,1184.034343328567,350.22932374681125,140.27940698853374,139.15334690776382,3.9675,12.8425,18.212222,12.468862,0.0,0,0,3593.049,3593.006,3593.049,3626.471,3626.439,2560.2131802833687,2560.177823854608,2560.2131802833687,2578.292506617039,2578.2569143544624,640.7612969071089,640.7575666177065,649.8279629351167,649.8236009211037,2.183333333333333,30208,26598,8.83950893655017,9.506603326281283,16586.663615235968,21331.53771370635,0.0,0
0020,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192,3102,3110,3105.5833333333335,9135,9191,9806.738602311643,9884.813958079694,879.0088412451491,331.31929398680563,139.59391693333103,139.70256799891652,4.9075,16.41,18.324079,12.420824,0.0,0,0,3660.723,3660.703,3660.723,3712.019,3711.976,2617.6973998287667,2617.662664811644,2617.6973998287667,2631.7147689353815,2631.7197425762242,647.3852645176078,647.3831090083743,663.6078354057418,663.5788802332039,1.7094972067039107,37376,30208,8.838766698156615,9.50528365053587,20397.20522925054,24320.447661121354,0.0,0
0021,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192,3099,3112,3105.09375,9138,9190,9813.731271404109,9889.643000493503,933.4033871846423,480.2159927819724,139.23726911768497,138.78930961656957,4.95,16.4425,18.323263,12.422516,0.0,0,0,3673.748,3673.735,3673.748,3729.944,3729.916,2628.48285843857,2628.4476361033817,2628.48285843857,2641.464801436859,2641.429106347814,652.3975849509765,652.393778395059,670.8303264594323,670.8256189923778,1.8410041841004183,37376,29648,8.83901718967868,9.50388248449308,20398.11358926628,23866.340763819502,0.0,0
0022,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192,3101,3109,3105.2291666666665,9141,9190,9807.595863655823,9883.477585923369,879.2925461032047,333.54058138527176,139.1806615568491,140.0171174949618,4.62,15.54,18.323854,12.430281,0.0,0,0,3651.305,3651.279,3651.305,3705.173,3705.141,2610.9314042166093,2610.8974691245717,2610.9314042166093,2625.233242663582,2625.2356182292874,649.4419047648113,649.4404148928811,665.0584343088736,665.0365715041048,1.6593886462882097,37376,30260,8.839630050432852,9.50542858987363,20397.455688088325,24343.77790815831,0.0,0
0023,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192,3101,3110,3105.2708333333335,9120,9191,9815.850706335616,9891.877150281221,921.7191077421717,451.37994901160954,139.58511052169118,141.52855831479476,4.6975,15.56,18.321261,12.430642,0.0,0,0,3689.524,3689.506,3689.524,3753.53,3753.51,2639.6135083208474,2639.5794403895547,2639.6135083208474,2643.9543301013073,2643.919800962921,656.7146765217301,656.7122514525292,676.1331613530808,676.1301536429005,1.5327510917030567,37376,29909,8.840602500321301,9.507219990831475,20400.3425310081,24060.704185672792,0.0,0
0024,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192,3100,3111,3105.3020833333335,9153,9196,9809.575048159246,9890.542085095138,878.0453770812671,327.939436186124,139.2146369399187,138.69402913693241,4.7525,15.765,18.328623,12.382351,0.0,0,0,3695.266,3695.243,3695.266,3752.743,3752.715,2642.2379438677226,2642.20333984375,2642.2379438677226,2660.8806432930874,2660.8851198460875,656.3457348320902,656.3433525584792,674.7635429443726,674.7366344352345,1.4458333333333333,37376,30148,8.838304815345992,9.505059662071368,20392.14838997998,24347.557261137244,0.0,0
